Row	Sample Name	Transaction Id	Anon Student Id	Session Id	Time	Time Zone	Duration (sec)	Student Response Type	Student Response Subtype	Tutor Response Type	Tutor Response Subtype	Level (Unit)	Problem Name	Problem View	Problem Start Time	Step Name	Attempt At Step	Is Last Attempt	Outcome	Selection	Action	Input	Feedback Text	Feedback Classification	Help Level	Total Num Hints	KC (Single-KC)	KC Category (Single-KC)	KC (Unique-step)	KC Category (Unique-step)	KC (Single-KC-temp)	KC Category (Single-KC-temp)	KC (Single-plus-unique)	KC Category (Single-plus-unique)	KC (Single-plus-unique)	KC Category (Single-plus-unique)	KC (Unique-step-temp)	KC Category (Unique-step-temp)	KC (Rule Names)	KC Category (Rule Names)	KC (Field)	KC Category (Field)	KC (Unique-step-Plus-Single2)	KC Category (Unique-step-Plus-Single2)	KC (Unique-step-Plus-Single2)	KC Category (Unique-step-Plus-Single2)	KC (Rule Names2)	KC Category (Rule Names2)	School	Class
1	All Data	5f0d82c779a872e7f1cde92e690bf755	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:01		0	HINT_REQUEST		HINT_MSG		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	lcm_denom2	1	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable5_C1R2, UpdateTable, 12				Single-KC		KC31		KC1		KC1		KC31		KC31		lcm_denom2		denom2		1-6_plus_5-12-lcm_denom2		Single		lcm_denom2			
2	All Data	722c6b6098a8d3c7ac50752401a1eb6c	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:02		1	ATTEMPT		RESULT		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	lcm_denom2	2	1	CORRECT	JCommTable5_C1R2	UpdateTable	12					Single-KC		KC31		KC1		KC1		KC31		KC31		lcm_denom2		denom2		1-6_plus_5-12-lcm_denom2		Single		lcm_denom2			
3	All Data	81cdf91b6682ccbf17e4b6311a67f492	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:03		1	HINT_REQUEST		HINT_MSG		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	convert_num2	1	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable5_C1R1, UpdateTable, 5				Single-KC		KC126		KC1		KC1		KC126		KC126		convert_num2		convert-num2		1-6_plus_5-12-convert_num2		Single		convert_num2			
4	All Data	eb56afe1205311052c6575a7dbee68d2	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:04		1	ATTEMPT		RESULT		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	convert_num2	2	1	CORRECT	JCommTable5_C1R1	UpdateTable	5					Single-KC		KC126		KC1		KC1		KC126		KC126		convert_num2		convert-num2		1-6_plus_5-12-convert_num2		Single		convert_num2			
5	All Data	3dd34397b22acffd7c53f5242d07a3bf	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:05		1	HINT_REQUEST		HINT_MSG		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	lcm_denom1	1	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable4_C1R2, UpdateTable, 12				Single-KC		KC24		KC1		KC1		KC24		KC24		lcm_denom1		denom1		1-6_plus_5-12-lcm_denom1		Single		lcm_denom1			
6	All Data	19134f4c2e7c50312de2208086164064	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:06		1	ATTEMPT		RESULT		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	lcm_denom1	2	1	CORRECT	JCommTable4_C1R2	UpdateTable	12					Single-KC		KC24		KC1		KC1		KC24		KC24		lcm_denom1		denom1		1-6_plus_5-12-lcm_denom1		Single		lcm_denom1			
7	All Data	dcf21691d32271d6c8f50fc987e7aa8d	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:07		1	HINT_REQUEST		HINT_MSG		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	convert_num1	1	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable4_C1R1, UpdateTable, 2				Single-KC		KC165		KC1		KC1		KC165		KC165		convert_num1		converted-num1		1-6_plus_5-12-convert_num1		Single		convert_num1			
8	All Data	06c07dd342d790d7ad0cd66db3932003	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:08		1	ATTEMPT		RESULT		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	convert_num1	2	1	CORRECT	JCommTable4_C1R1	UpdateTable	2					Single-KC		KC165		KC1		KC1		KC165		KC165		convert_num1		converted-num1		1-6_plus_5-12-convert_num1		Single		convert_num1			
9	All Data	c0f6efb6f4a6503b26bd8ced35ba42d2	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:09		1	HINT_REQUEST		HINT_MSG		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	answer_num	1	0	HINT	hint_button	ButtonPressed	hint request	Enter: JCommTable6_C1R1, UpdateTable, 7				Single-KC		KC176		KC1		KC1		KC176		KC176		answer_num		answer-num		1-6_plus_5-12-answer_num		Single		answer_num			
10	All Data	fd72fdeb1d77d5c0688fed81fd00f40b	023542c7-3500-41d6-a3f0-1a2cf3c0717f	19d5e3af-36e5-413d-b9fd-ef3f0ea361ec	1969-12-31 19:00:10		1	ATTEMPT		RESULT		SimStudent	1-6_plus_5-12	1	1969-12-31 19:00:01	answer_num	2	1	CORRECT	JCommTable6_C1R1	UpdateTable	7					Single-KC		KC176		KC1		KC1		KC176		KC176		answer_num		answer-num		1-6_plus_5-12-answer_num		Single		answer_num			
